,Date Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
1,2021-09-30 18:04:07.8274,-200,-200,-200,-200,-200,-200
2,2021-09-30 18:04:07.9329,-200,-200,-200,-200,-200,-200
3,2021-09-30 18:04:08.0497,-200,-200,-200,-200,-200,-200
4,2021-09-30 18:04:08.1585,-200,-200,-200,-200,-200,-200
5,2021-09-30 18:04:08.2944,-200,-200,-200,-200,-200,-200
6,2021-09-30 18:04:08.3924,-200,-200,-200,-200,-200,-200
7,2021-09-30 18:04:08.4672,-200,-200,-200,-200,-200,-200
8,2021-09-30 18:04:08.5540,-200,-200,-200,-200,-200,-200
9,2021-09-30 18:04:08.6914,-200,-200,-200,-200,-200,-200
10,2021-09-30 18:04:08.7739,-200,-200,-200,-200,-200,-200
11,2021-09-30 18:04:08.8938,-200,-200,-200,-200,-200,-200
12,2021-09-30 18:04:08.9276,-200,-200,-200,-200,-200,-200
13,2021-09-30 18:04:09.0256,-200,-200,-200,-200,-200,-200
14,2021-09-30 18:04:09.1458,-200,-200,-200,-200,-200,-200
15,2021-09-30 18:04:09.1479,-200,-200,-200,-200,-200,-200
16,2021-09-30 18:04:09.2161,-200,-200,-200,-200,-200,-200
17,2021-09-30 18:04:09.2855,-200,-200,-200,-200,-200,-200
18,2021-09-30 18:04:09.4451,-200,-200,-200,-200,-200,-200
19,2021-09-30 18:04:09.5096,-200,-200,-200,-200,-200,-200
20,2021-09-30 18:04:09.5820,-200,-200,-200,-200,-200,-200
21,2021-09-30 18:04:09.6870,-200,-200,-200,-200,-200,-200
22,2021-09-30 18:04:09.7264,-200,-200,-200,-200,-200,-200
23,2021-09-30 18:04:09.8199,-200,-200,-200,-200,-200,-200
24,2021-09-30 18:04:09.9250,-200,-200,-200,-200,-200,-200
25,2021-09-30 18:04:09.9952,-200,-200,-200,-200,-200,-200
26,2021-09-30 18:04:10.0501,-200,-200,-200,-200,-200,-200
27,2021-09-30 18:04:10.2233,-200,-200,-200,-200,-200,-200
28,2021-09-30 18:04:10.3205,-200,-200,-200,-200,-200,-200
29,2021-09-30 18:04:10.4242,-200,-200,-200,-200,-200,-200
30,2021-09-30 18:04:10.5338,-200,-200,-200,-200,-200,-200
31,2021-09-30 18:04:10.6629,-200,-200,-200,-200,-200,-200
32,2021-09-30 18:04:10.7819,-200,-200,-200,-200,-200,-200
33,2021-09-30 18:04:10.9631,-200,-200,-200,-200,-200,-200
34,2021-09-30 18:04:11.0313,-200,-200,-200,-200,-200,-200
35,2021-09-30 18:04:11.1537,-200,-200,-200,-200,-200,-200
36,2021-09-30 18:04:11.2338,-200,-200,-200,-200,-200,-200
37,2021-09-30 18:04:11.3450,-200,-200,-200,-200,-200,-200
38,2021-09-30 18:04:11.4580,-200,-200,-200,-200,-200,-200
39,2021-09-30 18:04:11.5762,-200,-200,-200,-200,-200,-200
40,2021-09-30 18:04:11.6061,-200,-200,-200,-200,-200,-200
41,2021-09-30 18:04:11.6739,-200,-200,-200,-200,-200,-200
42,2021-09-30 18:04:11.8062,-200,-200,-200,-200,-200,-200
43,2021-09-30 18:04:11.8581,-200,-200,-200,-200,-200,-200
44,2021-09-30 18:04:11.9729,-200,-200,-200,-200,-200,-200
45,2021-09-30 18:04:12.0617,-200,-200,-200,-200,-200,-200
46,2021-09-30 18:04:12.1650,-200,-200,-200,-200,-200,-200
